iter	Passed	Remaining
0	57	57422
1	57	28890
2	58	19364
3	58	14639
4	59	11767
5	59	9877
6	60	8532
7	60	7526
8	61	6740
9	61	6099
10	62	5579
11	62	5159
12	63	4792
13	63	4479
14	64	4205
15	64	3965
16	64	3754
17	65	3562
18	65	3403
19	66	3254
20	66	3122
21	67	3000
22	68	2889
23	68	2783
24	68	2684
25	69	2597
26	69	2512
27	70	2433
28	70	2357
29	70	2289
30	71	2224
31	71	2164
32	72	2110
33	72	2055
34	72	2006
35	73	1962
36	73	1923
37	74	1886
38	75	1849
39	75	1811
40	75	1773
41	76	1740
42	76	1708
43	77	1677
44	77	1646
45	77	1616
46	78	1590
47	78	1564
48	79	1537
49	79	1512
50	79	1487
51	80	1465
52	80	1444
53	81	1424
54	81	1402
55	81	1382
56	82	1363
57	82	1346
58	83	1327
59	83	1312
60	84	1296
61	84	1279
62	84	1263
63	85	1248
64	85	1235
65	86	1222
66	86	1208
67	87	1196
68	87	1183
69	88	1170
70	88	1159
71	89	1148
72	89	1135
73	89	1124
74	90	1114
75	90	1104
76	91	1093
77	91	1083
78	92	1074
79	92	1065
80	92	1055
81	93	1045
82	93	1033
83	93	1024
84	94	1015
85	94	1007
86	95	997
87	95	989
88	95	981
89	96	974
90	96	966
91	97	959
92	97	953
93	98	946
94	98	939
95	99	932
96	99	925
97	99	918
98	100	912
99	100	906
100	101	900
101	101	894
102	102	888
103	102	882
104	102	875
105	103	870
106	103	864
107	104	859
108	104	854
109	104	848
110	105	842
111	105	836
112	106	832
113	106	827
114	106	822
115	107	817
116	107	811
117	107	807
118	108	802
119	108	797
120	109	792
121	109	787
122	109	783
123	110	779
124	110	775
125	111	772
126	111	766
127	111	762
128	112	759
129	112	755
130	113	751
131	113	747
132	114	744
133	114	740
134	114	736
135	115	733
136	115	730
137	116	726
138	116	723
139	117	719
140	117	715
141	117	710
142	118	707
143	118	704
144	118	701
145	119	698
146	119	695
147	120	692
148	120	688
149	121	685
150	121	682
151	121	679
152	122	677
153	122	674
154	123	671
155	123	668
156	123	665
157	124	662
158	124	659
159	125	656
160	125	653
161	125	650
162	126	648
163	126	645
164	127	642
165	127	640
166	127	637
167	128	635
168	128	633
169	129	631
170	129	629
171	130	626
172	130	624
173	131	622
174	131	619
175	131	617
176	132	614
177	132	612
178	133	610
179	133	607
180	133	605
181	134	602
182	134	600
183	134	598
184	135	596
185	135	594
186	136	592
187	136	590
188	137	588
189	137	586
190	138	584
191	138	582
192	139	581
193	139	579
194	139	577
195	140	574
196	140	572
197	141	571
198	141	569
199	141	567
200	142	565
201	142	563
202	143	562
203	143	560
204	144	558
205	144	556
206	144	555
207	145	553
208	145	551
209	146	549
210	146	548
211	147	547
212	147	546
213	148	544
214	148	542
215	149	541
216	149	539
217	149	537
218	150	535
219	150	534
220	151	532
221	151	530
222	151	529
223	152	527
224	152	525
225	153	524
226	153	523
227	154	521
228	154	520
229	155	519
230	155	517
231	155	516
232	156	514
233	156	513
234	157	512
235	157	510
236	158	509
237	158	508
238	159	506
239	159	505
240	160	504
241	160	503
242	161	501
243	161	500
244	162	499
245	162	498
246	163	497
247	163	496
248	164	495
249	164	494
250	165	493
251	165	491
252	166	490
253	166	488
254	166	487
255	167	486
256	167	485
257	168	484
258	168	483
259	169	482
260	169	481
261	170	479
262	170	478
263	171	477
264	171	476
265	172	475
266	172	474
267	173	472
268	173	471
269	173	470
270	174	469
271	174	467
272	175	466
273	175	465
274	176	464
275	176	462
276	176	461
277	177	460
278	177	459
279	178	457
280	178	456
281	178	455
282	179	453
283	179	452
284	179	450
285	180	449
286	180	448
287	180	446
288	181	445
289	181	444
290	181	442
291	182	442
292	183	441
293	183	440
294	183	439
295	184	438
296	184	437
297	185	436
298	185	435
299	186	434
300	186	433
301	187	432
302	187	431
303	187	430
304	188	429
305	188	427
306	189	426
307	189	425
308	189	424
309	190	423
310	190	422
311	191	421
312	191	420
313	192	419
314	192	418
315	192	417
316	193	416
317	193	414
318	193	413
319	194	412
320	194	411
321	194	410
322	195	409
323	195	408
324	196	407
325	196	406
326	196	405
327	197	404
328	197	403
329	198	402
330	198	401
331	198	399
332	199	398
333	199	397
334	199	396
335	200	395
336	200	394
337	200	393
338	201	392
339	201	391
340	201	389
341	202	388
342	202	387
343	202	386
344	203	385
345	203	384
346	203	383
347	204	382
348	204	381
349	204	380
350	205	379
351	205	378
352	205	376
353	205	375
354	206	374
355	206	373
356	206	372
357	207	371
358	207	370
359	207	369
360	208	368
361	208	367
362	208	366
363	209	365
364	209	364
365	209	363
366	210	362
367	210	361
368	210	360
369	211	359
370	211	358
371	211	357
372	212	356
373	212	356
374	213	355
375	213	354
376	213	353
377	214	352
378	214	351
379	214	350
380	215	349
381	215	348
382	215	347
383	216	346
384	216	345
385	216	344
386	217	343
387	217	343
388	217	342
389	218	341
390	218	340
391	218	339
392	219	338
393	219	337
394	219	336
395	220	336
396	220	335
397	221	334
398	221	333
399	221	332
400	222	332
401	222	331
402	223	330
403	223	329
404	223	328
